PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,RFC_ERROR_CODE,RFC_MESSAGE,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP,_extracted_at,_source_table
WSPO/2026/078,0001536501,SUCCESS,,,,,,2780,Wah Sin Industrial Pte. Ltd,ENVALIOR PO2026-078.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1014458377,0001536583,SUCCESS,,,,,,2710,NIHON MOLEX,1014458377_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121020154545,0001536696,SUCCESS,,,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,f59573ab-4537-4f92-9b82-cce14c0a3891.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
13227,0001536596,SUCCESS,,,,,,2540,DIAPLAST PRODUCTION,Comandă de achiziţie 13227 - ENVALIOR Deutschland GmbH.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
37668,0001536584,SUCCESS,,,,,,2500,STEBRO PLAST AB,Sold-to 4020032023 - Material 19417.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4504063626,0001536577,SUCCESS,,,,,,2710,BANDO KAGAKU,4504063626.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
852915,0001536585,SUCCESS,,,,,,2540,Plastor S.A,852915 Envalior_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
9141078815,0001536697,SUCCESS,,,,,,2545,ALFAGOMMA HYDRAULIC SPA,ODA_9141078815_ENVALIOR ITALY SRL.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00764,0001536578,SUCCESS,,,,,,2500,VF Verpackungen GmbH,Niederwieser (Sold-to 4020000825 - Material 8677).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
H266864-HEY-260616,0001536586,SUCCESS,,,,,,2701,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H266864-HEY-260616.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
I34/0000577,0001536650,SUCCESS,,,,,,2540,Sistemas Técnicos del Accesorio y,I34-577.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
佰鑫20260624新订单,0001536722,SUCCESS,,,,,,2700,上海佰鑫新材料科技有限公司 上海佰鑫新材料科技有限公司,佰鑫20260624新订单.xls,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121020153848,0001536579,SUCCESS,,,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,1946d8e6-ae6d-4aee-8dc1-2d80ce27e7c9.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121080096833,0001536587,SUCCESS,,,,,,2700,上海金骏程新材料科技有限公司,Fuyu Electronical Technology (Sold-to 4020036720 - Material 48029)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121080096837,0001536588,SUCCESS,,,,,,2730,Fuyu Electronical Technology (Huaia,dc85616a-fe9d-4b5c-a902-f43b3eb7b485.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
135796,0001536844,SUCCESS,,,,,,2500,TER HELL Plastic GmbH,BE_135796.PDF,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
41247,0001536601,SUCCESS,,,,,,2500,STEBRO PLAST AB,Purchase order 41247.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
4500029730,0001536602,SUCCESS,,,,,,2540,"CRW Slovakia, s.r.o",4500029730 ENVALIOR.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
